Location,Total Offenses,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex
Offenses"
Total,"2,939,412","2,706,772","16,537","2,141","36,919","177,043"
Abandoned/Condemned Structure,800,599,19,0,16,166
Air/Bus/Train Terminal,"10,176","9,493",26,10,71,576
Amusement Park,"1,945","1,796",2,0,5,142
Arena/Stadium/Fairgrounds/Coliseum,"2,592","2,425",7,0,9,151
ATM Separate from Bank,216,205,0,0,4,7
Auto Dealership New/Used,"1,844","1,798",6,1,9,30
Bank/Savings and Loan,"2,192","2,099",6,2,57,28
Bar/Nightclub,"39,922","38,220",281,6,145,"1,270"
Camp/Campground,"3,148","2,598",25,1,46,478
Church/Synagogue/Temple/Mosque,"3,816","3,227",18,0,51,520
Commercial/Office Building,"29,482","27,855",101,20,239,"1,267"
Community Center,"2,262","2,051",4,1,11,195
Construction Site,"1,755","1,676",9,0,9,61
Convenience Store,"33,675","32,573",232,3,375,492
Cyberspace,"13,468","13,396",0,72,0,0
Daycare Facility,"2,526","2,115",6,0,53,352
Department/Discount Store,"19,182","18,391",30,10,147,604
Dock/Wharf/Freight/Modal Terminal,847,789,1,0,6,51
Drug Store/Doctor's Office/Hospital,"41,760","38,813",50,11,157,"2,729"
Farm Facility,546,468,11,1,6,60
Field/Woods,"10,553","8,566",277,11,171,"1,528"
Gambling Facility/Casino/Race Track,"5,214","4,959",18,13,75,149
Government/Public Building,"18,089","16,419",31,19,246,"1,374"
Grocery/Supermarket,"15,098","14,478",34,2,130,454
Highway/Road/Alley/Street/Sidewalk,"348,734","331,452","5,103",326,"4,812","7,041"
Hotel/Motel/Etc.,"72,646","63,117",355,512,"1,686","6,976"
Industrial Site,"2,229","2,111",16,1,17,84
Jail/Prison/Penitentiary/Corrections Facility,"30,526","29,239",48,1,45,"1,193"
Lake/Waterway/Beach,"2,357","1,935",31,0,39,352
Liquor Store,"2,296","2,223",19,0,18,36
Military Installation,135,106,0,0,0,29
Park/Playground,"26,788","23,625",197,39,292,"2,635"
Parking/Drop Lot/Garage,"130,252","123,375","1,365",46,"1,599","3,867"
Rental Storage Facility,"2,940","2,708",6,2,59,165
Residence/Home,"1,778,407","1,626,088","7,170",713,"23,872","120,564"
Rest Area,"1,064",974,5,0,16,69
Restaurant,"43,689","41,885",114,13,302,"1,375"
School/College,"11,975","10,752",5,6,54,"1,158"
School-College/University,"7,905","6,710",2,1,74,"1,118"
School-Elementary/Secondary,"71,137","64,658",25,29,236,"6,189"
Service/Gas Station,"25,130","24,155",186,15,374,400
Shelter-Mission/Homeless,"4,497","4,220",11,5,19,242
Shopping Mall,"4,539","4,223",18,1,54,243
Specialty Store,"15,675","14,794",66,8,130,677
Tribal Lands,"2,052","1,940",14,0,15,83
Other/Unknown,"93,331","81,473",587,240,"1,168","9,863"
