Time of Day,Total Offenses,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex
Offenses"
Total,"2,552,446","2,335,159","15,249","1,827","33,429","166,782"
Total A.M. Hours,"948,142","856,078","6,241",761,"12,928","72,134"
Midnight - 12:59 a.m.,"182,353","157,039","1,256",275,"2,533","21,250"
1 a.m. - 1:59 a.m.,"91,870","85,176",817,38,"1,257","4,582"
2 a.m. - 2:59 a.m.,"77,016","71,068",716,24,"1,100","4,108"
3 a.m. - 3:59 a.m.,"57,886","53,078",559,20,840,"3,389"
4 a.m. - 4:59 a.m.,"43,433","39,895",377,19,670,"2,472"
5 a.m. - 5:59 a.m.,"36,243","33,216",338,17,591,"2,081"
6 a.m. - 6:59 a.m.,"38,342","35,194",331,19,583,"2,215"
7 a.m. - 7:59 a.m.,"52,536","48,400",321,25,724,"3,066"
8 a.m. - 8:59 a.m.,"80,061","71,106",345,76,"1,108","7,426"
9 a.m. - 9:59 a.m.,"84,994","76,801",338,69,"1,139","6,647"
10 a.m. - 10:59 a.m.,"98,205","89,127",389,100,"1,176","7,413"
11 a.m. - 11:59 a.m.,"105,203","95,978",454,79,"1,207","7,485"
Total P.M. Hours,"1,577,755","1,457,637","8,868","1,045","20,192","90,013"
Noon - 12:59 p.m.,"127,165","113,638",494,123,"1,620","11,290"
1 p.m. - 1:59 p.m.,"112,212","102,261",541,110,"1,263","8,037"
2 p.m. - 2:59 p.m.,"119,739","109,198",572,104,"1,428","8,437"
3 p.m. - 3:59 p.m.,"130,399","119,192",596,101,"1,664","8,846"
4 p.m. - 4:59 p.m.,"133,103","122,784",602,112,"1,666","7,939"
5 p.m. - 5:59 p.m.,"136,971","127,005",699,91,"1,830","7,346"
6 p.m. - 6:59 p.m.,"140,340","130,489",742,78,"2,121","6,910"
7 p.m. - 7:59 p.m.,"140,448","131,635",819,72,"1,756","6,166"
8 p.m. - 8:59 p.m.,"143,359","133,755",919,60,"1,778","6,847"
9 p.m. - 9:59 p.m.,"140,389","131,477",942,77,"1,686","6,207"
10 p.m. - 10:59 p.m.,"133,763","124,724","1,008",57,"1,790","6,184"
11 p.m. - 11:59 p.m.,"119,867","111,479",934,60,"1,590","5,804"
