,Total Incidents,"Assault
Offenses","Homicide
Offenses","Human 
Trafficking 
Offenses","Kidnapping/
Abduction",Sex Offenses,,
Total,"2,988,454","2,737,786","17,189","2,234","39,098","192,147",,
Total A.M. Hours,"1,132,394","1,025,366","7,279","1,021","15,342","83,386",,
Midnight–12:59 a.m.,"236,073","205,981","1,637",359,"2,899","25,197",,
1 a.m.–1:59 a.m.,"103,834","96,320",931,41,"1,512","5,030",,
2 a.m.–2:59 a.m.,"86,737","80,049",822,32,"1,282","4,552",,
3 a.m.–3:59 a.m.,"64,945","59,620",591,42,"1,033","3,659",,
4 a.m.–4:59 a.m.,"49,015","44,946",462,27,829,"2,751",,
5 a.m.–5:59 a.m.,"42,431","39,002",361,23,681,"2,364",,
6 a.m.–6:59 a.m.,"44,740","41,223",345,24,709,"2,439",,
7 a.m.–7:59 a.m.,"64,495","59,657",334,26,864,"3,614",,
8 a.m.–8:59 a.m.,"97,916","87,432",394,120,"1,317","8,653",,
9 a.m.–9:59 a.m.,"102,572","93,105",407,99,"1,299","7,662",,
 10 a.m.–10:59 a.m.,"115,806","105,014",485,117,"1,403","8,787",,
 11 a.m.–11:59 a.m.,"123,830","113,017",510,111,"1,514","8,678",,
Total P.M. Hours,"1,826,793","1,688,960","9,722","1,178","23,363","103,570",,
Noon–12:59 p.m.,"150,085","134,173",574,160,"1,802","13,376",,
1 p.m.–1:59 p.m.,"132,060","120,217",566,125,"1,531","9,621",,
2 p.m.–2:59 p.m.,"141,487","129,147",642,130,"1,629","9,939",,
3 p.m.–3:59 p.m.,"155,974","142,870",643,108,"1,950","10,403",,
4 p.m.–4:59 p.m.,"156,115","144,136",688,113,"1,945","9,233",,
5 p.m.–5:59 p.m.,"157,724","146,510",737,101,"2,095","8,281",,
6 p.m.–6:59 p.m.,"161,399","150,152",841,101,"2,368","7,937",,
7 p.m.–7:59 p.m.,"161,129","151,139",919,78,"1,954","7,039",,
8 p.m.–8:59 p.m.,"164,597","153,946","1,021",80,"2,024","7,526",,
9 p.m.–9:59 p.m.,"159,596","149,457","1,073",81,"2,063","6,922",,
 10 p.m.–10:59 p.m.,"151,877","141,831",989,59,"2,086","6,912",,
 11 p.m.–11:59 p.m.,"134,750","125,382","1,029",42,"1,916","6,381",,
