,Total Offenses,Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism",Embezzlement,"Extortion/
Blackmail","Fraud 
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen 
Property 
Offenses"
Total,"7,849,624","30,166",652,"672,139","147,573","1,497,908","32,481","20,298","843,491","3,618,452","721,157","149,862","115,445"
Abandoned/Condemned Structure,"6,365",452,0,"1,900",18,"2,153",4,3,151,"1,228",289,83,84
Air/Bus/Train Terminal,"31,792",165,3,397,226,"6,034",151,16,"4,877","16,496","1,486","1,619",322
Amusement Park,"4,598",19,0,237,74,709,38,2,403,"2,864",175,41,36
Arena/Stadium/Fairgrounds/Coliseum,"5,574",21,1,443,154,"1,055",22,2,274,"3,270",248,49,35
ATM Separate From Bank,"8,874",7,0,177,597,667,32,4,"5,256","1,573",43,237,281
Auto Dealership New/Used,"39,292",80,0,"3,285",964,"5,240",325,6,"5,039","12,874","11,003",119,357
Bank/Savings and Loan,"117,544",62,0,"1,042","33,648","3,868","1,141",70,"57,980","16,154",403,"2,431",745
Bar/Nightclub,"41,286",116,9,"3,261",960,"7,993",180,12,"3,277","22,170","1,997","1,104",207
Camp/Campground,"6,966",79,0,689,24,"1,764",16,3,175,"3,573",442,84,117
Church/Synagogue/Temple/Mosque,"34,845",335,0,"6,695",429,"12,420",76,14,891,"12,210","1,359",222,194
Commercial/Office Building,"248,972","1,049",17,"42,104","7,000","52,739","3,211",142,"20,826","102,981","15,003","2,272","1,628"
Community Center,"10,448",58,1,"1,008",75,"2,776",37,4,460,"5,557",312,93,67
Construction Site,"67,686",212,2,"11,951",95,"10,256",133,12,623,"41,028","2,770",223,381
Convenience Store,"215,926",269,5,"11,679","8,224","16,600","2,987",52,"23,669","132,763","6,844","10,751","2,083"
Cyberspace,"102,314",0,27,0,"2,617",94,328,"5,236","93,927",0,0,0,85
Daycare Facility,"3,974",23,0,580,39,"1,134",28,1,176,"1,790",173,13,17
Department/Discount Store,"453,093",306,3,"10,857","6,188","12,636","4,454",53,"41,624","363,556","3,421","7,162","2,833"
Dock/Wharf/Freight/Modal Terminal,"4,197",19,0,359,14,671,140,3,113,"2,393",267,165,53
Drug Store/Doctor's Office/Hospital,"79,978",175,8,"4,605","2,810","10,882",565,48,"7,772","49,067","2,081","1,553",412
Farm Facility,"9,495",94,0,"1,862",49,"1,758",19,3,158,"4,296","1,125",15,116
Field/Woods,"33,777","1,533",1,747,46,"9,184",23,4,532,"17,031","2,999",723,954
Gambling Facility/Casino/Race Track ,"19,539",17,5,529,"2,140","1,728",118,11,"1,846","10,789","1,452",463,441
Government/Public Building,"53,350",322,47,"3,442","3,630","14,617",331,167,"8,902","19,449","1,575",279,589
Grocery/Supermarket,"232,971",171,8,"4,576","5,515","7,868","1,646",43,"20,799","184,148","2,724","4,040","1,433"
Highway/Road/Alley/Street/Sidewalk,"853,500","3,743",160,"4,911","9,744","220,460",516,262,"31,676","304,322","182,504","44,468","50,734"
Hotel/Motel/Etc.,"122,656",347,4,"7,803","1,143","22,315",548,157,"9,530","62,531","12,743","3,068","2,467"
Industrial Site,"19,292",86,0,"3,167",157,"4,084",216,10,632,"9,399","1,334",52,155
Jail/Prison/Penitentiary/Corrections Facility,"9,041",140,48,93,358,"5,892",22,46,840,"1,271",95,85,151
Lake/Waterway/Beach,"6,708",63,1,198,23,"1,295",2,0,208,"4,452",271,89,106
Liquor Store,"25,060",23,1,"2,273",724,"1,939",127,4,"1,534","17,022",377,933,103
Military Installation,359,1,0,33,3,68,2,0,37,182,26,3,4
Park/Playground,"63,206",993,7,"1,735",192,"26,839",23,17,"1,839","26,070","2,005","2,646",840
Parking/Drop Lot/Garage,"965,367","2,068",21,"20,531","2,191","221,287",580,112,"16,009","505,772","166,057","15,745","14,994"
Rental Storage Facility,"77,104",111,1,"36,553",161,"11,994",326,11,"2,518","20,173","4,687",106,463
Residence/Home,"2,722,460","13,214",200,"386,489","24,286","624,440","4,221","11,331","300,270","1,071,386","240,890","26,548","19,185"
Rest Area,"1,847",20,1,134,13,582,4,5,95,801,117,38,37
Restaurant,"143,378",352,5,"21,732","6,116","26,131","2,604",80,"19,123","58,059","4,422","3,818",936
School/College,"10,854",111,4,946,212,"3,256",24,40,438,"5,400",236,85,102
School–College/University,"43,266",160,4,"2,160",517,"11,464",73,550,"2,000","24,078","1,741",186,333
School–Elementary/Secondary,"52,169",798,2,"4,237",449,"17,326",123,183,"1,602","24,878","1,387",721,463
Service/Gas Station,"136,608",222,7,"6,344","4,073","14,376","1,724",33,"17,211","72,232","11,057","6,781","2,548"
Shelter–Mission/Homeless,"4,892",57,0,217,11,"1,007",17,4,253,"3,086",102,100,38
Shopping Mall,"48,036",64,2,"1,334",420,"3,181",282,14,"3,190","36,167","1,663","1,050",669
Specialty Store ,"255,691",328,2,"24,080","5,442","25,200","2,636",50,"29,208","154,750","6,764","5,134","2,097"
Tribal Lands,"2,583",47,0,343,187,592,11,1,59,735,547,16,45
Other/Unknown,"452,691","1,634",45,"34,401","15,615","69,334","2,395","1,477","105,469","188,426","23,941","4,449","5,505"
