,Total Offenses,"Animal 
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon 
Law
Violations"
Total,"1,860,969","20,512","1,459,460","2,121","39,871","13,007","325,998"
Abandoned/Condemned Structure,"1,360",34,"1,173",4,4,6,139
Air/Bus/Train Terminal,"13,847",15,"8,833",2,35,14,"4,948"
Amusement Park,659,5,476,3,9,0,166
Arena/Stadium/Fairgrounds/Coliseum,700,15,532,3,13,2,135
ATM Separate From Bank,138,1,116,0,2,0,19
Auto Dealership New/Used,969,5,771,1,4,2,186
Bank/Savings and Loan,"1,832",8,"1,532",2,5,0,285
Bar/Nightclub,"5,836",12,"3,185",48,29,102,"2,460"
Camp/Campground,"1,495",18,"1,220",1,18,3,235
Church/Synagogue/Temple/Mosque,"2,783",27,"2,357",0,41,7,351
Commercial/Office Building,"13,830",155,"10,765",212,192,417,"2,089"
Community Center,732,10,546,0,36,3,137
Construction Site,"1,942",10,"1,642",0,7,2,281
Convenience Store,"31,005",63,"26,191",389,61,75,"4,226"
Cyberspace,"7,950",0,54,7,"7,732",130,27
Daycare Facility,186,8,121,0,21,1,35
Department/Discount Store,"21,909",99,"19,423",12,134,18,"2,223"
Dock/Wharf/Freight/Modal Terminal,"1,235",3,"1,142",1,2,0,87
Drug Store/Doctor's Office/Hospital,"11,143",74,"9,990",0,93,6,980
Farm Facility,457,232,168,0,3,1,53
Field/Woods,"10,181",627,"7,047",4,25,42,"2,436"
Gambling Facility/Casino/Race Track ,"8,065",15,"5,458",715,4,"1,457",416
Government/Public Building,"13,836",120,"11,124",27,"1,011",47,"1,507"
Grocery/Supermarket,"13,052",113,"11,466",17,94,12,"1,350"
Highway/Road/Alley/Street/Sidewalk,"960,362","1,631","793,924",113,423,"3,787","160,484"
Hotel/Motel/Etc.,"40,792",207,"32,202",13,262,"3,605","4,503"
Industrial Site,880,12,707,1,13,5,142
Jail/Prison/Penitentiary/Corrections Facility,"20,230",12,"18,599",0,170,12,"1,437"
Lake/Waterway/Beach,"2,154",54,"1,809",0,9,1,281
Liquor Store,"1,256",4,920,2,1,4,325
Military Installation,105,1,75,0,4,0,25
Park/Playground,"21,274",280,"17,513",5,96,60,"3,320"
Parking/Drop Lot/Garage,"154,391","1,187","128,804",21,222,548,"23,609"
Rental Storage Facility,"2,378",36,"1,948",0,30,13,351
Residence/Home,"301,366","14,348","191,076",176,"20,356","1,517","73,893"
Rest Area,521,7,426,0,10,4,74
Restaurant,"12,321",66,"9,696",31,140,39,"2,349"
School/College,"7,297",4,"5,644",0,375,9,"1,265"
School–College/University,"8,762",14,"7,248",4,354,5,"1,137"
School–Elementary/Secondary,"60,286",20,"46,289",2,"3,520",28,"10,427"
Service/Gas Station,"26,502",39,"22,362",47,53,71,"3,930"
Shelter–Mission/Homeless,"1,097",27,951,0,13,5,101
Shopping Mall,"3,682",30,"2,888",21,36,32,675
Specialty Store ,"11,274",90,"7,642",42,104,184,"3,212"
Tribal Lands,"1,290",13,"1,030",5,6,1,235
Other/Unknown,"57,607",761,"42,375",190,"4,099",730,"9,452"
