,Total Incidents,"Animal 
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon 
Law
Violations",
Total,"1,860,969","20,512","1,459,460","2,121","39,871","13,007","325,998",
Total A.M. Hours,"733,794","7,906","572,040",680,"18,570","3,994","130,604",
Midnight–12:59 a.m.,"158,929","1,346","121,412",91,"5,768","1,171","29,141",
1 a.m.–1:59 a.m.,"87,137",192,"68,528",47,551,553,"17,266",
2 a.m.–2:59 a.m.,"68,955",140,"53,164",38,399,401,"14,813",
3 a.m.–3:59 a.m.,"45,427",126,"35,081",18,354,173,"9,675",
4 a.m.–4:59 a.m.,"27,826",105,"21,073",16,255,76,"6,301",
5 a.m.–5:59 a.m.,"19,706",138,"14,688",15,316,54,"4,495",
6 a.m.–6:59 a.m.,"23,144",209,"17,767",17,502,71,"4,578",
7 a.m.–7:59 a.m.,"36,493",458,"29,168",28,960,104,"5,775",
8 a.m.–8:59 a.m.,"55,283","1,078","43,340",53,"2,589",157,"8,066",
9 a.m.–9:59 a.m.,"63,761","1,209","50,792",72,"2,354",237,"9,097",
 10 a.m.–10:59 a.m.,"72,514","1,425","57,904",137,"2,370",451,"10,227",
 11 a.m.–11:59 a.m.,"74,619","1,480","59,123",148,"2,152",546,"11,170",
Total P.M. Hours,"1,101,865","12,361","866,286","1,343","20,527","8,949","192,399",
Noon–12:59 p.m.,"78,127","1,705","60,389",157,"3,194",622,"12,060",
1 p.m.–1:59 p.m.,"81,059","1,505","64,039",110,"2,360",608,"12,437",
2 p.m.–2:59 p.m.,"86,785","1,473","68,766",175,"2,523",655,"13,193",
3 p.m.–3:59 p.m.,"90,228","1,464","71,633",133,"2,272",663,"14,063",
4 p.m.–4:59 p.m.,"89,370","1,323","70,578",126,"1,866",799,"14,678",
5 p.m.–5:59 p.m.,"82,812","1,091","64,695",106,"1,566",773,"14,581",
6 p.m.–6:59 p.m.,"84,230","1,007","65,601",132,"1,422",859,"15,209",
7 p.m.–7:59 p.m.,"91,365",826,"71,609",109,"1,229",783,"16,809",
8 p.m.–8:59 p.m.,"97,614",719,"76,348",86,"1,215",959,"18,287",
9 p.m.–9:59 p.m.,"102,770",525,"80,315",85,"1,129",760,"19,956",
 10 p.m.–10:59 p.m.,"108,871",401,"85,723",67,977,782,"20,921",
 11 p.m.–11:59 p.m.,"108,634",322,"86,590",57,774,686,"20,205",
